Symbol,Pre Market Volume,Price % Change from Open,% From Daily VWAP,ADR % - 1 Day,ADR - 1 Day,ATR - 14 Days,Last,Volume,Pre Market Last,Pre Market Price % Change,Relative Volume - 5 Day,Relative Volume - 20 Day,Industry,DCR,WCR,Name
A,NaN,0.51%,0.11%,0.82%,1.11,3.7825,$136,1575905,$NaN,NaN%,1.062,0.8723,Life Sciences Tools & Services,65%,80%,"Agilent Technologies, Inc."
AA,12603,3.23%,0.16%,4.73%,2.47,3.6166,$54,5259488,$52.57,-0.96%,1.025,1.1128,Metals & Mining,73%,36%,Alcoa Corporation
AADX,527,11.41%,3.82%,12.53%,2.305,2.0718,$20.5,1102117,$18.3159,-2.32%,1.2919,0.883,-,91%,94%,"Applied Aerospace & Defense, Inc."
AAL,1258978,2.23%,0.62%,2.96%,0.515,0.7614,$17.88,141494302,$17.48,-0.51%,0.8234,1.1575,Passenger Airlines,88%,93%,American Airlines Group Inc.
AAMI,3136,2.66%,0.27%,3.74%,2.63,3.8584,$72.22,801457,$70,0.33%,0.9661,2.0565,Capital Markets,71%,45%,Acadian Asset Management
AAOI,534977,3.05%,1.53%,10.88%,13.82,21.2364,$135.7,10775965,$131.15,-5.33%,0.9461,0.8804,Communications Equipment,63%,17%,"Applied Optoelectronics, Inc."
AAON,538,-3.10%,-2.16%,6.05%,7.6219,7.8135,$126.72,994944,$131.2,-1.55%,1.7088,1.3616,Building Products,10%,5%,"AAON, Inc."
AAP,NaN,5.27%,0.79%,6.29%,3.7043,2.8662,$62.19,1781954,$NaN,NaN%,1.3411,1.2568,Specialty Retail,88%,95%,"Advance Auto Parts, Inc."
AAPL,1046054,2.29%,0.54%,4.28%,11.74,9.2186,$281.3,94919645,$275.2,0.02%,1.972,2.3715,"Technology Hardware, Storage & Peripherals",60%,26%,Apple Inc.
AAT,NaN,2.11%,0.97%,2.29%,0.565,0.4986,$25.18,425176,$NaN,NaN%,1.5958,1.4034,Diversified REITs,94%,97%,"American Assets Trust, Inc."
AAUC,551,0.76%,0.79%,2.92%,0.655,1.0196,$23.075,131003,$22.97,0.53%,0.8855,0.5343,Metals & Mining,93%,21%,Allied Gold Corporation
ABBV,15025,2.66%,1.61%,3.08%,7.53,6.5825,$251.77,11115866,$245.8,1.09%,1.8992,2.6603,Biotechnology,94%,99%,AbbVie Inc.
ABCB,NaN,-0.46%,0.56%,1.40%,1.26,1.9311,$90.99,458295,$NaN,NaN%,1.0874,1.2446,Banks,67%,90%,Ameris Bancorp
ABM,NaN,1.15%,0.43%,2.35%,1.05,1.3319,$45.44,584725,$NaN,NaN%,1.5304,1.1089,Commercial Services & Supplies,65%,87%,ABM Industries Inc.
ABNB,3729,2.27%,-0.30%,4.11%,5.83,4.6041,$145.58,3423530,$142.31,0.30%,1.2923,1.2278,"Hotels, Restaurants & Leisure",66%,79%,"Airbnb, Inc."
ABSI,160711,8.68%,0.54%,14.06%,1.4,1.1199,$10.89,10150566,$10.12,-0.88%,0.7867,1.4338,Biotechnology,66%,88%,Absci Corporation
ABT,111929,-0.02%,-0.52%,2.15%,2,2.334,$93.844,8420173,$94.11,0.93%,0.8353,0.8945,Health Care Equipment & Supplies,32%,83%,Abbott Laboratories
ABVX,42211,4.02%,0.79%,6.53%,6.0799,7.4755,$97.45,1566529,$92.53,0.17%,0.5899,0.5767,Biotechnology,71%,78%,Abivax S.A.
